id,title,url,acceptance,difficulty,premium,like,dislike,tag
186,Reverse Words in a String II,https://leetcode.com/problems/reverse-words-in-a-string-ii,47.9%,Medium,1,,,string;two-pointers;
187,Repeated DNA Sequences,https://leetcode.com/problems/repeated-dna-sequences,42.2%,Medium,0,1305.0,343.0,string;hash-table;bit-manipulation;sliding-window;hash-function;rolling-hash;
188,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,30.9%,Hard,0,2690.0,144.0,array;dynamic-programming;
189,Rotate Array,https://leetcode.com/problems/rotate-array,36.9%,Medium,0,5031.0,962.0,array;math;two-pointers;
190,Reverse Bits,https://leetcode.com/problems/reverse-bits,43.8%,Easy,0,1934.0,616.0,bit-manipulation;divide-and-conquer;
191,Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits,55.4%,Easy,0,1664.0,656.0,bit-manipulation;
198,House Robber,https://leetcode.com/problems/house-robber,43.8%,Medium,0,7610.0,201.0,array;dynamic-programming;
199,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view,57.2%,Medium,0,4366.0,234.0,depth-first-search;breadth-first-search;tree;binary-tree;
200,Number of Islands,https://leetcode.com/problems/number-of-islands,50.6%,Medium,0,9214.0,255.0,array;depth-first-search;breadth-first-search;matrix;union-find;
201,Bitwise AND of Numbers Range,https://leetcode.com/problems/bitwise-and-of-numbers-range,39.9%,Medium,0,1476.0,150.0,bit-manipulation;
202,Happy Number,https://leetcode.com/problems/happy-number,51.7%,Easy,0,3461.0,550.0,hash-table;math;two-pointers;
203,Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements,40.2%,Easy,0,2970.0,129.0,linked-list;recursion;
204,Count Primes,https://leetcode.com/problems/count-primes,32.8%,Easy,0,3473.0,836.0,array;math;enumeration;number-theory;
205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings,41.1%,Easy,0,2457.0,522.0,string;hash-table;
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list,66.8%,Easy,0,7656.0,143.0,linked-list;recursion;
207,Course Schedule,https://leetcode.com/problems/course-schedule,44.5%,Medium,0,6417.0,269.0,depth-first-search;breadth-first-search;graph;topological-sort;
208,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree,53.8%,Medium,0,4872.0,72.0,string;hash-table;design;trie;
209,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum,40.5%,Medium,0,4162.0,147.0,array;binary-search;sliding-window;prefix-sum;
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii,43.8%,Medium,0,4222.0,178.0,depth-first-search;breadth-first-search;graph;topological-sort;
211,Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure,41.5%,Medium,0,3208.0,134.0,string;depth-first-search;design;trie;
212,Word Search II,https://leetcode.com/problems/word-search-ii,37.8%,Hard,0,4037.0,150.0,array;string;matrix;backtracking;trie;
213,House Robber II,https://leetcode.com/problems/house-robber-ii,38.0%,Medium,0,3143.0,68.0,array;dynamic-programming;
214,Shortest Palindrome,https://leetcode.com/problems/shortest-palindrome,31.0%,Hard,0,1785.0,156.0,string;hash-function;string-matching;rolling-hash;
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array,60.0%,Medium,0,6199.0,382.0,array;sorting;heap-priority-queue;divide-and-conquer;quickselect;
216,Combination Sum III,https://leetcode.com/problems/combination-sum-iii,61.5%,Medium,0,2018.0,67.0,array;backtracking;
217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate,57.7%,Easy,0,1943.0,860.0,array;hash-table;sorting;
